,text,label
11,"فاجعه فقط به زیرگرفتن ختم نشده طبق گزارش پزشکی قانونی حدود تیرساچمهای در سینه یکی از شهدایفاطمیه ثبت شده است شهیدمحمدحسینحدادیان دراویشداعشی وحشی</s>سینه,شهدای_فاطمیه,شهید_محمدحسین_حدادیان,دراویش_داعشی</s></s>NOUN,ADV,ADP,NOUN,NOUN,NOUN,NOUN,VERB,ADP,NOUN,NOUN,ADJ,PUNCT,ADP,NUM,NOUN,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,PROPN,PROPN,PROPN,PROPN,NOUN,VERB,AUX,PUNCT,PUNCT,NOUN,PROPN,NOUN,PROPN,PROPN,PROPN,PROPN,NOUN,PROPN,PUNCT,NOUN,NOUN,NOUN,PUNCT,ADJ,ADJ,ADJ</s>",SAD
12,"اگر در دولت احمدینژاد اتفاق میافتاد انقدر عصبانی نمیشدم؛ اما باید بگویم سایت و اپ گودریدز در دولت تدبیر و امید فیلتر شده است احسنت آقای روحانی احسنت وزیر جوان؛ آقای جهرمی وحیدآنلاین</s>گودریدز,فیلتر,روحانی.,جهرمی,goodreads,وحید_آنلاین</s></s>SCONJ,ADP,NOUN,PROPN,PROPN,PROPN,PROPN,NOUN,VERB,VERB,VERB,VERB,DET,NOUN,ADJ,ADJ,ADJ,VERB,VERB,VERB,PUNCT,CCONJ,AUX,VERB,NOUN,CCONJ,NOUN,PUNCT,PROPN,PROPN,PROPN,PROPN,ADP,PROPN,PROPN,CCONJ,PROPN,NOUN,NOUN,NOUN,VERB,AUX,PUNCT,NOUN,NOUN,NOUN,PUNCT,PROPN,PROPN,PUNCT,NOUN,NOUN,NOUN,PUNCT,ADJ,PUNCT,NOUN,PUNCT,PROPN,PROPN,PROPN,PUNCT,PUNCT,PUNCT,PROPN,NOUN,PROPN,PUNCT,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN</s>",ANGRY
13,"پوست لبمو هرچی میکنم باز کنده میشه و تا ثریا میره نه اون جور با کیف و لذت اون جور ترسناک و سوزانده</s>NOUN,NOUN,PRON,DET,NOUN,VERB,ADJ,VERB,VERB,AUX,CCONJ,ADP,NOUN,NOUN,VERB,VERB,PUNCT,ADV,DET,NOUN,NOUN,ADP,NOUN,CCONJ,NOUN,PUNCT,DET,NOUN,NOUN,ADJ,ADJ,CCONJ,ADJ,ADJ,ADJ</s>",FEAR
14,"چرا چهار صبح باید مطلب خوندن درباره آمار تجاوز تو دنیا برام انقدر جذابیت پیدا کنه</s>ADV,NUM,NOUN,AUX,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,ADP,NOUN,ADP,PRON,DET,NOUN,NOUN,NOUN,ADJ,VERB,PUNCT</s>",SURPRISE
15,"بچه که بودم خواهرم از بانک که میومد چند ساعتی میخوابید بهش اعتراض میکردم چرا انقد میخوابی میگفت تو دنیا هیچی لذت بخش تر از خواب نیست الان به حرفش رسیدم</s>NOUN,SCONJ,AUX,NOUN,PRON,ADP,NOUN,SCONJ,VERB,VERB,VERB,DET,NOUN,ADJ,VERB,VERB,VERB,ADP,PRON,NOUN,VERB,VERB,ADV,DET,NOUN,VERB,VERB,VERB,VERB,VERB,ADP,NOUN,NOUN,PRON,ADJ,ADJ,ADJ,ADP,NOUN,AUX,PUNCT,PUNCT,ADV,ADP,NOUN,PRON,VERB,VERB</s>",HAPPY
16,"فردا بالاخره میخوام برم دانشگاه خودمون اسمشو نبر منتظر کصافط شدن اعصابم توسط کارکنان حراست و خانمهای حجاب هستم</s>:)</s></s>NOUN,ADV,VERB,VERB,NOUN,PRON,PRON,PUNCT,NOUN,PRON,VERB,VERB,PUNCT,ADJ,ADJ,NOUN,ADJ,NOUN,NOUN,PRON,ADP,NOUN,NOUN,CCONJ,NOUN,NOUN,NOUN,AUX</s></s>!</s>",ANGRY
17,"امروز رفتم پیش آقا رضا چاپ اول کتاب خشم و هیاهوی فاکنر رو گذاشته بود تو حراجی کتابش یکسال از بابای من کوچکتره</s>NOUN,VERB,ADP,PROPN,PROPN,NOUN,ADJ,NOUN,NOUN,NOUN,CCONJ,NOUN,NOUN,NOUN,PROPN,PROPN,PROPN,ADP,VERB,AUX,ADP,NOUN,NOUN,NOUN,NOUN,PRON,NUM,NOUN,ADP,NOUN,ADP,PRON,ADJ,ADJ,AUX</s>",OTHER
18,"عزیزم مشکل اینجاست که فرهنگمونو باختیم بدم باختیم</s>NOUN,PRON,NOUN,NOUN,AUX,SCONJ,NOUN,PRON,ADP,VERB,AUX,VERB,VERB,AUX,PUNCT</s>",SAD
19,"به نظرم نامه مربوط به اصلاحاصلاحات به سیدمحمدخاتمی صرفا در جهت زدودن افکار و اعمالی است که ما به جریان رقیب انتقاد داریم ولی کسانی با نام اصلاحطلبی اونا رو انجام میدن وقتی در انتخابات انجمن اسلامی اصلاحطلب دانشگاه دست به رد صلاحیت میزند پس باید این اصلاحات انجامپذیرد</s>اصلاح_اصلاحات,سید_محمد_خاتمی</s></s>ADP,NOUN,PRON,NOUN,ADJ,ADP,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,NOUN,PROPN,ADV,ADV,ADP,NOUN,NOUN,NOUN,NOUN,NOUN,CCONJ,NOUN,ADJ,AUX,SCONJ,PRON,ADP,NOUN,NOUN,NOUN,VERB,CCONJ,NOUN,ADP,NOUN,NOUN,NOUN,NOUN,PRON,PRON,ADP,NOUN,VERB,VERB,PUNCT,SCONJ,ADP,NOUN,NOUN,PROPN,PROPN,PROPN,PUNCT,NOUN,NOUN,ADP,NOUN,NOUN,VERB,VERB,VERB,ADV,AUX,DET,NOUN,VERB,VERB,VERB,PUNCT</s>",OTHER
20,"فردا پنجشنبه بهمن یا ژانویه روز جهانی آموزشه به همین مناسبت مارنگینکمانیها تصمیم گرفتیم که با هشتگهای توهمبگو و خشونتحصیلی در این باره بنویسیم شما هم با هر گرایشجنسی و هویتجنسیتی میتونین با ما همراه بشید همجنسگرا دوجنسگرا ترنس رنگینکمانی</s>ما_رنگین_کمانیها,تو_هم_بگو,گرایش_جنسی,هویت_جنسیتی,همجنسگرا,دوجنسگرا,ترنس,رنگینکمانی</s></s>NOUN,NOUN,NOUN,NUM,PROPN,CCONJ,NUM,PROPN,NOUN,ADJ,NOUN,AUX,PUNCT,ADP,DET,NOUN,NOUN,NOUN,NOUN,NOUN,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,VERB,AUX,SCONJ,ADP,NOUN,NOUN,NOUN,PUNCT,NOUN,NOUN,NOUN,PUNCT,VERB,VERB,CCONJ,NOUN,PUNCT,ADJ,ADJ,ADJ,ADP,DET,NOUN,VERB,VERB,VERB,PUNCT,PRON,ADV,ADP,DET,NOUN,NOUN,NOUN,NOUN,ADJ,ADJ,CCONJ,PUNCT,NOUN,NOUN,NOUN,ADJ,ADJ,AUX,AUX,ADP,PRON,ADJ,VERB,AUX,PUNCT,PUNCT,NOUN,NOUN,NOUN,PUNCT,ADJ,NOUN,ADJ,PUNCT,NOUN,NOUN,PUNCT,NOUN,PROPN,NOUN,PROPN</s>",OTHER
21,"لغات و جملات کلیدی برای حفظ آرامش در زندگی باشه اینجور خوشم میاد نه نه خوشم نمیاد هر جور صلاح میدونی نمیدونم دوست ندارم جواب بدم شخصیه هر جور راحتی ترجیح میدم که</s>NOUN,CCONJ,NOUN,NOUN,ADJ,ADP,NOUN,NOUN,ADP,NOUN,PUNCT,INTJ,PUNCT,DET,NOUN,NOUN,PRON,VERB,PUNCT,ADV,PUNCT,ADV,PUNCT,NOUN,PRON,VERB,VERB,PUNCT,DET,NOUN,NOUN,NOUN,VERB,VERB,VERB,PUNCT,VERB,VERB,VERB,PUNCT,NOUN,VERB,NOUN,VERB,PUNCT,ADJ,AUX,PUNCT,DET,NOUN,NOUN,NOUN,PUNCT,NOUN,VERB,VERB,SCONJ,PUNCT</s>",OTHER
22,"میگف بعضیا هم هستن ک دروغ نمیگن ولی فقط همون لحظه رو میگن مثلا میگن دوست دارم واین یعنی الان دوست دارم برای همین ساعت همین لحظه و فردا نه</s>NOUN,NOUN,NOUN,NOUN,NOUN,SCONJ,AUX,AUX,SCONJ,NOUN,VERB,VERB,CCONJ,ADV,DET,DET,NOUN,ADP,VERB,VERB,PUNCT,ADV,VERB,VERB,NOUN,PRON,AUX,AUX,NOUN,AUX,CCONJ,PRON,SCONJ,NOUN,NOUN,PRON,VERB,ADP,DET,NOUN,DET,NOUN,CCONJ,NOUN,PUNCT,ADV,PUNCT</s></s>!</s>",SAD
23,"غلط کرده چنان سونامی خشم ملت آغاز شود که آغا و بیت و نصراله و اسد در این سونامی تکه تکه بشوند حالا متطر بمانید اندکی صبر سحر نزدیک است</s>ADJ,VERB,PUNCT,DET,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,SCONJ,NOUN,NOUN,CCONJ,NOUN,CCONJ,PROPN,PROPN,CCONJ,PROPN,ADP,DET,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,VERB,PUNCT,ADV,ADJ,ADJ,ADJ,VERB,VERB,VERB,PUNCT,ADV,NOUN,NOUN,NOUN,ADJ,AUX,PUNCT</s></s>!,!,!,!,!,!,!,!</s>",ANGRY
24,"از بیرون چیزی مشخص نبود ولی وقتی بسته رو باز کردم و پایه رو بیرون آوردم دیدم همه جاش رنگ پریدگی داره الانم نمیدونم قبول می کن برگشت بدم یا خیر چون بسته بندی باز شده به نظرم از این تامین کنده چیزی نخرید</s>ADP,NOUN,NOUN,ADJ,AUX,CCONJ,SCONJ,NOUN,ADP,ADJ,VERB,CCONJ,NOUN,ADP,NOUN,VERB,VERB,VERB,DET,NOUN,PRON,NOUN,NOUN,NOUN,VERB,PUNCT,ADV,ADV,VERB,VERB,VERB,NOUN,VERB,VERB,VERB,NOUN,VERB,CCONJ,ADV,SCONJ,NOUN,NOUN,ADJ,AUX,PUNCT,ADP,NOUN,PRON,ADP,DET,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,VERB,VERB</s>",SAD
25,"گریه میکنم اما از غم نیست ترکیبی هست از شرمندگی و ترس و و سبک میشم</s>NOUN,VERB,CCONJ,ADP,NOUN,AUX,PUNCT,NOUN,NOUN,AUX,ADP,NOUN,NOUN,CCONJ,NOUN,CCONJ,PUNCT,CCONJ,ADJ,VERB,VERB,PUNCT</s>",SAD
26,"دربرابرت هیچ نکردیم رب مهلت دهد اول سلامتی شما دوتا بعدخودم خدمت به شما دعای شما که همیشه میترسم از گمراهی های جامعه دعایم کن</s>ADP,NOUN,NOUN,ADV,VERB,VERB,NOUN,NOUN,VERB,NOUN,NOUN,PRON,NUM,NOUN,ADV,PRON,PRON,NOUN,ADP,PRON,NOUN,ADP,PRON,SCONJ,NOUN,VERB,VERB,VERB,ADP,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,PRON,VERB</s>",FEAR
27,"حامیان نظم موجودمطمئنی قاتل نبودن فتوشاپ نیست توباچشم خودت دیدی اگر واقعی باشه خوب نیست مال دوران خشونت و هرج و مرج سیاسیهجزو زیاده رویهای خودسرانه بودبرخوردرشرایط جنگی بامتحدین امریکاستوانقلاب ازاین اتفاقات تلخ میافتهمقصرگروهای مخالفند نه خط اماملازم باشه بازهم میکنیم</s>NOUN,NOUN,NOUN,ADJ,PUNCT,NOUN,NOUN,NOUN,NOUN,ADJ,NOUN,NOUN,PUNCT,NOUN,NOUN,NOUN,AUX,PUNCT,NOUN,NOUN,ADV,PRON,PRON,VERB,PUNCT,SCONJ,ADJ,AUX,ADJ,AUX,PUNCT,NOUN,NOUN,NOUN,CCONJ,NOUN,NOUN,CCONJ,NOUN,NOUN,ADJ,AUX,PUNCT,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,ADJ,ADJ,ADJ,AUX,PUNCT,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,ADJ,ADP,NOUN,NOUN,NOUN,NOUN,AUX,PUNCT,ADP,NOUN,ADP,DET,NOUN,ADJ,VERB,VERB,VERB,PUNCT,NOUN,NOUN,NOUN,NOUN,NOUN,ADJ,AUX,ADV,NOUN,NOUN,PUNCT,ADJ,AUX,ADV,ADV,VERB,PUNCT</s></s>!,!,!,!,!</s>",OTHER
28,"یجادیدم نوشتهشعبده بازلبخند درکلاه دردعجب جمله ای بمن که چسبید دم اونکه اینونوشته گرم</s>PROPN,PROPN,PROPN,PROPN,VERB,PUNCT,NOUN,NOUN,VERB,VERB,VERB,VERB,PUNCT,ADP,NOUN,NOUN,NOUN,PUNCT,ADV,NOUN,ADJ,PUNCT,ADP,PRON,SCONJ,VERB,VERB,PUNCT,NOUN,PRON,SCONJ,PRON,ADP,VERB,VERB,PUNCT,ADV,ADV</s>",HAPPY
29,"انتصاب رئیس جدید قوه قضائیه در آینده نزدیک قطعی است؛ عاجزانه از رئیس تازه نفس میخواهم تا سر و سامانی به نظام اطلاع رسانی فشل قوه بدهد؛ شاید تعطیل کردن برخی رسانهای این قوه مایه تقویت باشد احیای دیدارهای مردمی رئیس وجلوگیری از اظهارات نسنجیده بعضی مسئولان قضای هم ضروری است</s>NOUN,NOUN,NOUN,ADJ,NOUN,ADJ,ADJ,ADJ,ADP,NOUN,ADJ,ADJ,AUX,PUNCT,ADV,ADV,ADP,NOUN,ADJ,ADJ,VERB,VERB,VERB,SCONJ,NOUN,CCONJ,NOUN,NOUN,ADP,NOUN,NOUN,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,PUNCT,ADV,ADJ,NOUN,DET,NOUN,NOUN,DET,NOUN,PUNCT,NOUN,NOUN,NOUN,AUX,NOUN,NOUN,NOUN,NOUN,ADJ,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,ADJ,ADJ,ADJ,DET,NOUN,ADJ,ADV,PUNCT,ADJ,AUX</s>",OTHER
30,"شهریوری به شماره شناسنامه همینقدر ناشناس برای همه و همینقدر جاودانه برای من تولدت مبارک باشه البته که همینقدر بی پاسخ میمونم و این تبریک رو نخواهی دید</s>PROPN,NOUN,ADP,NOUN,NOUN,NOUN,NUM,NUM,NUM,PUNCT,DET,NOUN,ADJ,ADJ,ADP,NOUN,CCONJ,DET,NOUN,ADJ,ADJ,ADJ,ADP,PRON,NOUN,PRON,ADJ,AUX,PUNCT,ADV,SCONJ,DET,NOUN,ADJ,NOUN,VERB,VERB,VERB,CCONJ,DET,NOUN,ADP,AUX,AUX,AUX,VERB,PUNCT</s></s>!</s>",SAD
31,"حالا همینا که به گوگوش گیر دادن ب مکرون رئیس جمهور فرانسه میگفتن عجب حرکت خفنی زده با یکی سال بزرگتر از خودش ازدواج کرده تازه گوگوش خیلی خوشگل تر و جذاب تر از زن مکرونه</s>ADV,ADV,NOUN,SCONJ,ADP,NOUN,NOUN,NOUN,NOUN,NOUN,ADP,PROPN,PROPN,NOUN,NOUN,PROPN,VERB,VERB,VERB,ADV,ADV,NOUN,ADJ,ADJ,ADJ,ADJ,ADP,NUM,NUM,NOUN,ADJ,ADP,PRON,NOUN,VERB,PUNCT,ADV,NOUN,NOUN,NOUN,ADV,ADJ,ADJ,ADJ,CCONJ,ADJ,ADJ,ADP,NOUN,ADJ,ADJ,AUX</s>",SURPRISE
32,"بعضیا هم از اونور بوم افتادن و سال نو میلادی رو فقط به دوستان مسیحیشون تبریک گفتن سال نو واسه همه و همه جاست عزیز جان</s>:)</s></s>NOUN,PRON,ADV,ADP,NOUN,NOUN,NOUN,NOUN,VERB,VERB,CCONJ,NOUN,ADJ,ADJ,ADP,ADV,ADP,NOUN,ADJ,PRON,NOUN,VERB,PUNCT,NOUN,ADJ,ADP,NOUN,CCONJ,DET,NOUN,AUX,NOUN,NOUN,PUNCT</s></s>!,!,!</s>",OTHER
33,"چقدر خوشحال شدم سرگروه این تیمه تو برنامه شب جمعه من و تو اون دختره نیست رو اعصابم بود</s>ADV,ADJ,AUX,NOUN,NOUN,NOUN,DET,NOUN,ADJ,ADP,NOUN,NOUN,NOUN,PRON,CCONJ,ADP,DET,NOUN,NOUN,AUX,PUNCT,ADP,NOUN,PRON,AUX</s>",HAPPY
34,"اعصابم کیری تر از اون چیزیه که فکرشو بکنی</s>NOUN,PRON,ADJ,ADJ,ADJ,ADP,DET,NOUN,AUX,SCONJ,NOUN,PRON,VERB,VERB</s>",ANGRY
35,"آه آتش نکند شعله بگیری زیرا مادرم فاطمه بسیار به در نزدیک است لب نکن باز به نفرین که همه میداند نالهی سوخته جانان به اثر نزدیک است آخر قصهی تلخ تو ولی شیرین است وعده دادند به ما وقت سحر نزدیک است سید علی محمد نقیب فاطمیه الهمعجلولیکالفرج</s>فاطمیه,اللهم_عجل_لولیک_الفرج</s></s>INTJ,PUNCT,NOUN,PUNCT,VERB,VERB,NOUN,NOUN,NOUN,VERB,VERB,SCONJ,NOUN,PRON,PROPN,ADV,ADP,NOUN,ADJ,AUX,NOUN,VERB,ADJ,ADP,NOUN,NOUN,SCONJ,PRON,VERB,VERB,NOUN,NOUN,NOUN,ADJ,ADJ,ADJ,ADJ,ADP,NOUN,ADJ,AUX,NOUN,PUNCT,NOUN,ADJ,ADJ,NOUN,PRON,CCONJ,ADJ,AUX,NOUN,VERB,ADP,PRON,NOUN,NOUN,NOUN,ADJ,AUX,PROPN,PROPN,PROPN,PROPN,PROPN,PUNCT,PROPN,PROPN,PROPN,PUNCT,NOUN,NOUN,PUNCT,NOUN,PUNCT,NOUN,NOUN,PUNCT,NOUN,NOUN</s></s>!</s>",SAD
36,"این کلیپ محجبه شدن شاخ های اینستاگرام رو می بینم همش این جمله میاد تو ذهنم که وقتی می خوای یه چیزیو نابود کنی یا هوشمندانه بهش حمله کن یا احمقانه ازش دفاع کن</s>DET,NOUN,ADJ,ADJ,ADJ,NOUN,NOUN,NOUN,PROPN,ADP,VERB,VERB,VERB,NOUN,PRON,DET,NOUN,VERB,ADP,NOUN,PRON,SCONJ,NOUN,VERB,VERB,VERB,DET,NOUN,ADP,ADJ,VERB,CCONJ,ADJ,ADJ,ADP,PRON,NOUN,VERB,CCONJ,ADV,ADJ,ADJ,ADJ,ADP,PRON,NOUN,VERB</s>",OTHER
37,"کاش یه روز که دارم سیگار میکشم یه پیرمرد بیاد بگه پسرم نکش ضر دارهمنم یه نگاه بهش بکنمو بگم باشه و سیگارو زیر پام له کنماونم بگه افرین بیا این یه میلیارد مال تو</s>INTJ,NUM,NOUN,SCONJ,AUX,NOUN,VERB,VERB,VERB,NUM,NOUN,NOUN,VERB,VERB,VERB,VERB,NOUN,PRON,NOUN,NOUN,NOUN,VERB,PUNCT,PRON,ADV,NUM,NOUN,ADP,PRON,VERB,VERB,PRON,VERB,AUX,CCONJ,NOUN,ADP,ADP,PRON,ADJ,VERB,PUNCT,NOUN,ADV,VERB,VERB,NOUN,NOUN,VERB,DET,NUM,NUM,NOUN,PRON,PUNCT,PUNCT,PUNCT</s>",OTHER
38,"تفریح با خانواده یعنی من گایده شدن اعصابم را دوست دارم</s>NOUN,ADP,NOUN,SCONJ,PRON,ADJ,ADJ,ADJ,NOUN,NOUN,PRON,ADP,NOUN,VERB,PUNCT</s>",ANGRY
39,"شرط می بندم حالا که دیگه در برابر افزایش نرخ ارز و طلا سر شدیم مسئولان تو فکرن که چجوری به مردم شوک جدید وارد کنیم تا بیشتر تو احساس بدبختی غرق بشن</s>NOUN,VERB,VERB,VERB,NOUN,SCONJ,ADJ,ADP,NOUN,NOUN,NOUN,NOUN,CCONJ,NOUN,ADJ,NOUN,ADJ,VERB,AUX,PUNCT,NOUN,PRON,NOUN,AUX,SCONJ,ADV,NOUN,ADP,NOUN,NOUN,NOUN,ADJ,ADJ,VERB,SCONJ,ADJ,ADP,NOUN,NOUN,NOUN,NOUN,ADJ,ADJ,AUX,AUX,PUNCT</s>",SAD
40,"عزیزان آیا مستندی با موضوع جنگ دیدین که به شدت تکونتون داده باشه ریتویت هم بکنین که عالی میشه</s>ریتوییت</s></s>NOUN,PART,NOUN,NOUN,ADP,NOUN,NOUN,VERB,AUX,SCONJ,ADP,NOUN,NOUN,NOUN,PRON,VERB,AUX,PUNCT,NOUN,NOUN,NOUN,NOUN,NOUN,SCONJ,VERB,VERB,AUX,SCONJ,ADJ,AUX,PUNCT</s>",OTHER
41,"من هنوز یادمه یکی از دلایلی که مردم قشون قشون به خاتمی رای میدادن ترس از ریس جهور شدن ناطق نوری بود آدمها عوض میشن موضع آدمها و سطح استفاده از منطقشون هم همینطور حتی اگه به خاطر منافع شخصیشون باشه عوض میشن </s>PRON,ADV,NOUN,AUX,PUNCT,NOUN,ADP,NOUN,ADP,SCONJ,NOUN,NOUN,NOUN,NOUN,NOUN,ADP,PROPN,PROPN,NOUN,VERB,VERB,VERB,PUNCT,NOUN,ADP,NOUN,NOUN,ADJ,NOUN,PROPN,NOUN,PROPN,PROPN,AUX,PUNCT,NOUN,NOUN,ADJ,AUX,AUX,PUNCT,NOUN,NOUN,NOUN,CCONJ,NOUN,NOUN,ADP,NOUN,PRON,ADV,ADV,NOUN,PUNCT,ADV,SCONJ,ADP,NOUN,NOUN,ADJ,PRON,AUX,PUNCT,ADJ,AUX,AUX,PUNCT</s>",FEAR
42,"لعنت به اون روبالشی که پاکتش روی کار دوخته شده </s>NOUN,ADP,DET,NOUN,NOUN,NOUN,SCONJ,NOUN,PRON,ADP,NOUN,VERB,VERB,AUX,PUNCT,PUNCT</s>",HATE
