local_id,tweet,primary_emotion,anger,sadness,fear,happiness,disgust,surprise,other
11,سریال Gannibal دانلود سریال گانیبال Gannibal : یک افسر پلیس به یک روستای کوهستانی دورافتاده اعزام می شود و زنجیره ای از اتفاقات عجیب و غریب او را به این فکر می اندازد که مشکلی در این روستا و ساکنان آن وجود دارد. #سریال_خارجی #ترسناک #علمی_تخیلی #هیج... <URL>,other,0,0,0,0,0,0,1
12,درخصوص تحلیل برخی از دوستان که #زلزله_ترکیه را به نوعی #زلزله_سیاسی و آغاز پایان اردوغان یاد می کنند #تردید دارم. او از این وقعه بمانند قضیه #کشتی_مرمره ، درگیری لفظی با شیمون پرز ( که صرفا یک بازی تبلیغاتی ،برای مصرف داخلی بود )و... نهایت بهره برداری سیاسی را خواهد کرد,surprise,0,0,0,0,0,1,0
13,آنها هرگز #زندگی را سرشار از شیرینی و یا تلخی تعریف نمی‌کنند. این #والدین راهبردهایی برای کنار آمدن با امواج زندگی به فرزندانشان می‌آموزند. آنها به هیجان‌های منفی فرزندشان اعتراض نمی‌کنند، یا آنها را نادیده نمی‌گیرند؛ بلکه بروز #هیجان و #احساسات را واقعیتهای زندگی می‌دانند. <URL>,happiness,0,0,0,1,0,0,0
14,همش گفتیم فلانجا رو #تحریم کنیم فلان شرکتو تحریم کنیم چی شد پس؟ چرا همه میهن می‌خرن باز؟ چرا هنوز دیجیکالا و اسنپ کار می‌کنن؟ چرا تبلیغای صداسیما بیشتر و بیشتر میشن؟ اسمش چیه؟ فراموشی یا بی‌خیالی؟,anger,1,1,0,0,1,0,0
15,<@USERNAME> برامنم همینه نمیدونم بااین وضعیت چیکارکنم خیلی رو مخمه  #مهسا_امینی #توماج_صالحی,surprise,1,1,0,0,1,1,0
16,بد اخلاقی ، هیچ جایی در دین نداره... هر جا بی اخلاقی دیدید از دایره ی دین الهی خارجش کنید #آتئیست #فتح_المکتب #احمد_الحسن,disgust,0,0,0,0,1,0,0
17,با اینکه دیگه ایران نیستم، اما هنوزم لباس نوهام دوس دارم شب سال نوی نوروز خودمون بخرم و بپوشم. دوباره به اصل خویش بازمیگردیم به همون ایران باستانی و زیبامون که حال همه امون توش خوبه. اون روز میرسه و ایران با عظمتمون دوباره برمیگرده .. #مهاجرت #زندگی #میلاد_کمالی,happiness,0,1,0,1,0,0,0
18,شما هم بی نمک‌ترین جوک زندگیت رو تعریف کنید #آدم‌خوار #dmway,other,0,0,0,0,0,0,1
19,شماری از زنان و دختران در ولایت بلخ، در آستانه‌ی هشتم مارچ، روز جهانی زن در یک حرکت اعتراضی خواستار لغو ممنوعیت کار و تحصیل زنان شده‌اند. <URL>,anger,1,0,0,0,1,0,0
20,<@USERNAME> هر آن که دلی دارد، با دلبری کنار زیرا که نزدیکی دوست، عیان شود آشکار #حافظ,happiness,0,0,0,1,0,0,0
21,Bozorgtarin khatar khatar nakardaneh   #عزم_جزم #ترس #ترس_نمیتونه_منو_سر_جام_بشونه #شانس #زندگی #آغاز,happiness,0,0,1,1,0,0,0
22,ضربه‌ای که #مدیران #نابخرد و #ناهنجار بر پیکره #کشور وارد آوردند ، کشنده تر از حمله #مغولان بود. اگر همه چیز را به #دین مربوط نمیکردند و نماد #عقل و #فرزانگی را #کبودی‌پیشانی نمی دانستند ، #نخبگان را احمق و #پخمگان را دانا نمی خواندند. حال #مردم دست به دامان عزرائیل نمی شدند.‌...,anger,1,1,0,0,1,0,0
23,#فوری  تصویر #علی_دایی رفته روی صفحه ورزشی اکثر مجلات #معتبر #دنیا برای خارجیها باورش سخته که یک نفر افتخار نشستن کنار #امیر_قطر ، #رئیس_فیفا و سایر مقامات دنیا در افتتاح #جام‌جهانی رو برای همدردی با مردم کشورش رد ‌کنه اسطوره بودی، اسطوره‌تر شدی #مهساامینی <URL>,happiness,0,1,0,1,0,0,0
24,۲. مدت سال ۹۸ و شاید ۹۹ تقریباً اصلا توییتر نمی‌اومدم، مگر اوقاتی که ترامپ چیزی می‌گفت توییت می‌زدم با زیر پستش از حماقتش می‌نوشتم. این دوران #توئیتر معروف بود به #جدیت و #فرهنگ و #سیاست. هنوز هم خیلی‌ها همین تصور رو دارن. در عین حال، یه مدتی پیش از اینستاگرام زده شدم.,disgust,0,0,0,0,1,0,0
25,به #سوگواری احتیاج دارم …,sadness,0,1,0,0,0,0,0
26,<@USERNAME> دعای ابوحمزه ثمالی یکی از دعاهای پرفضیلتی است که امام سجاد(ع) آن را در هنگام سحر می خواندند. مضامینش بسیار قشنگیه توصیه میکنم اگر یه وقتی فرصت کردید معنیشو بخونید ان شاءالله که دعای ابوحمزه به دلتون میشینه #شوق_رهایی #ماه_امید,happiness,0,0,0,1,0,0,0
27,هنَاك أشخاصٌ تستطيع أن تحتفِظ بهم في قلبِك بكلّ حفاوة رغْم مواسِم الغيَاب الطّويلة لأنّ حضُورهم الأوّل لم يكنْ عاديًّا أبدًا...  «افرادی هستند که با وجود غیبت طولانی می‌توانید آنها را به گرمی در قلبِ خود نگه دارید، چرا که اولین حضورِ آنها هرگز عادی نبوده است...» #افسون,happiness,0,1,0,1,0,0,0
28,یازده عضو شورای امنیت ملل متحد خواستار رفع محدودیت‌ها بر دختران و زنان افغانستان شدند <URL> در این اعلامیه آمده است که #زنان نقش مرکزی در امر رساندن کمک‌های #بشردوستانه دارند و بدون مشارکت آنان، #انجوها نمی‌توانند به افراد نیازمند رسیدگی کنند. <URL> #ArianaNews ,anger,1,1,0,0,1,0,0
